slug,stars,topics,watchers
TheKiteRunners/react,0.0,[],0.0
pooog90001/fence-gates,0.0,[],1.0
WhitePrime/storybook,0.0,[],0.0
chrismbarnes/ndnSIM,1.0,[],1.0
AtwoodCSB/Docker,1.0,[],2.0
sshukla82/rt-aware-systemtap,1.0,[],1.0
bitcoin-r/bitcoin-rxx,0.0,[],2.0
cyphermox/pkg-grub,0.0,[],1.0
pooog90001/fance-gates,0.0,[],1.0
mikarpasoftsas/inscripciones,0.0,[],2.0
MurshidMac/iwtoa-engine,1.0,[],1.0
ml-wo/MusicCreationStudio-Psycle,0.0,[],1.0
BorisKlinkerSAP/flowable-engine,0.0,[],1.0
flowable/flowable-engine,4151.0,[],244.0
wojtekby/gnuradio,0.0,[],1.0
dmascord/micropython,1.0,[],0.0
zhufangxing/ndnCDN,0.0,[],1.0
Tuxinou/test,1.0,[],1.0
Mellanox/buildroot,1.0,[],5.0
gphoto/libgphoto2,663.0,"['camera', 'digital', 'access', 'usb', 'canon', 'nikon', 'library', 'sony', 'pentax', 'powershot', 'eos', 'dslr', 'linux']",52.0
zengchenhuang/repos,0.0,[],1.0
w5860363/wownemesis,0.0,[],1.0
henry0hai/flowable-k8s,0.0,[],0.0
niranjanreddyy/flowable-engine,0.0,[],1.0
priyesh16/ns3,0.0,[],1.0
fsharp/FSharp.Compiler.Service,273.0,[],41.0
micropython/micropython,12627.0,"['micropython', 'python', 'embedded', 'microcontroller']",759.0
mich181189/christmascard2020_micropython,0.0,[],1.0
RakhithJK/micropython_new,0.0,[],1.0
pmp-p/wapy,6.0,"['python', 'micropython', 'wip-do-not-use', 'emscripten', 'wasm', 'web-assembly', 'webdev']",3.0
buyukesmeli/micropython,0.0,[],1.0
LoialOtter/micropython-glowey,0.0,[],1.0
rodgergr/micropython20,0.0,[],1.0
spp417833515/micropython,0.0,[],1.0
renzenicolai/micropython-with-badge-graphics,1.0,[],1.0
Justin-Bee/SER_402micropython,1.0,[],0.0
jppang/micropython,0.0,[],1.0
adamschmideg/geth-last-good,0.0,[],1.0
mail2nsrajesh/vmware-nsx,0.0,[],0.0
wplusio/go-ethereum,0.0,[],0.0
khatrijitendra/daniel_frappe,0.0,[],1.0
johnnychou/cinder,0.0,[],1.0
cdent/placement-1,0.0,[],2.0
znarf/statusnet-ladistribution,1.0,[],1.0
pleclech/hacking-haxe,17.0,[],7.0
lu-zero/x265,0.0,[],2.0
gitter-badger/nemesis,0.0,[],1.0
Antonshwed/mycointest,0.0,[],0.0
fsbolero/FSharp.Compiler.Service,3.0,[],4.0
appleseedhq/appleseed,1776.0,"['rendering', 'lighting', 'animation', 'visual-effects', 'vfx', 'blender', 'maya', '3dsmax', 'cpp', 'python', 'qt']",126.0
simplytunde/volt,0.0,[],1.0
jsukrut-indic/frappe_v7,0.0,[],0.0
dcos/dcos-ui,247.0,"['dcos-ux-guild', 'dcos']",47.0
lostdj/Jaklin-OpenJDK-JDK,0.0,[],1.0
learnforpractice/pyeos,133.0,"['python', 'eos', 'ethereum']",24.0
cobyism/redmine-heroku,14.0,[],3.0
exp1860/go-expanse,0.0,[],0.0
danilovsergey/i-bur,0.0,[],1.0
mkrufky/go-expanse,0.0,[],1.0
venusapsdev/generator-jhipster,0.0,[],0.0
xiaolaohu1/testforimport,0.0,[],0.0
talk2mayur/springBootExamples,0.0,[],1.0
bkadowaki/innerbtsp,0.0,[],1.0
builder12/amp-client,0.0,[],0.0
simplytunde/testphore,0.0,[],1.0
energicryptocurrency/energi3,30.0,[],17.0
codingfuture/orig-energi3,1.0,[],2.0
smtcrms/Singularity,0.0,[],0.0
eworm-de/claws-mail,3.0,[],2.0
Tux/claws-mail,0.0,[],2.0
ahngoo8Gongi/claws-mail,0.0,[],1.0
olafhering/claws,1.0,[],1.0
keur/claws-oauth2,2.0,[],2.0
chenylong/NodeBB_C,0.0,[],1.0
hc34315324/Renrenbit,1.0,[],3.0
quadwizard/qw-betaflight,0.0,[],1.0
superna9999/zephyr-stm32l4,1.0,[],3.0
wxw-matt/claws,0.0,[],1.0
darvisgalka/Fenix,0.0,[],1.0
zabojcaspamu/spamassassin_rules,32.0,[],12.0
dimensionofficial/DimensionChain-Beta,10.0,"['dimension-development', 'beta', 'archived']",1.0
apache/usergrid,992.0,['usergrid'],109.0
agiletechvn/go-ethereum,0.0,[],0.0
krayon/wasp-micropython,0.0,[],1.0
Jurisdeskinc/nemesis,0.0,[],2.0
bmabsout/neuroflight,0.0,[],2.0
1337days/Codiadclone,0.0,[],0.0
genavarov/bitcoinc,0.0,[],1.0
ZachYarbro/gnuradio,0.0,[],2.0
raphaelm/claws-mail-py3,0.0,[],2.0
xiaoleiPENG/my-project,0.0,[],0.0
drydenmaker/ToeBox,1.0,[],1.0
wind0419/wrt18-zyrh-luci,0.0,[],0.0
johnnychou/Ift_Cinder_Driver,0.0,[],1.0
gocd/gocd,6124.0,"['ci', 'cd', 'gocd', 'ci-cd', 'continuous-integration', 'continuous-delivery-server', 'continuous-delivery', 'infrastructure-as-code', 'continuous-deployment', 'continuous-testing']",221.0
joansmith/graylog2-server,0.0,[],1.0
swagger-api/swagger-codegen,13161.0,"['swagger', 'swagger-codegen', 'rest', 'rest-api', 'openapi-specification', 'openapi3']",425.0
Vaasgeet/bazel,0.0,[],0.0
Twinkleofficial/twinkle,0.0,[],1.0
andersonzch/swot,0.0,[],0.0
mnadil187/SVNToTFS,0.0,[],0.0
mdsajidfaizan/SajidRepo1,0.0,[],1.0
royan87/hadoop-fork,0.0,[],1.0
aces/Loris,105.0,"['loris', 'neuroinformatics', 'neuroimaging', 'database', 'data-sharing', 'science', 'hacktoberfest']",25.0
Anyz01/electron,0.0,[],0.0
luniehq/lunie,268.0,"['blockchain', 'proof-of-stake', 'cosmos', 'wallet', 'cosmos-hub']",18.0
aibaars/openjdk9-dev-hotspot,1.0,[],2.0
bittorf/kalua,78.0,[],14.0
mengqhui/codeblocks,0.0,[],2.0
vinaygwd/helm-repository,0.0,[],1.0
AnimeshGaur/angular-start,0.0,[],2.0
LocalOrbit/localorbit,15.0,"['ruby', 'rails', 'react', 'agriculture', 'open-source', 'food-delivery', 'local-food', 'food-hubs']",9.0
Runcy/codeblocks,0.0,[],1.0
eocschain/eocs,17.0,[],4.0
stackdocker/origin,1.0,[],4.0
streamline-eu/dynamic-flink,0.0,[],7.0
artemiy330/import-react,0.0,[],0.0
esmoyon1/GeonodeV1,0.0,[],1.0
doitroot/pinpoint,0.0,[],1.0
pinpoint-apm/pinpoint,11437.0,"['apm', 'monitoring', 'performance', 'agent', 'distributed-tracing', 'tracing']",771.0
AlexTheBest/ACore,3.0,[],1.0
Toporin/Electron-Cash-Satochip,0.0,[],1.0
unicodeveloper/php-experiment,1.0,[],1.0
bluemutedwisdom/buildroot,0.0,[],1.0
cmmohotti/myfirstPro,1.0,[],1.0
divakars/swagger-code-gen,0.0,[],1.0
gsmmindset/DataShIEP1,0.0,[],1.0
svn2github/awb,0.0,[],1.0
chef/chef-server,253.0,"['chef-server', 'erlang', 'chef-infra']",89.0
